_id,accomodates,air_conditioning,bathrooms,bed_type,bedrooms,beds,cable_tv,cancellation_policy,carbon_monoxide,checkin_24hr,cleaning_fee,comments,dryer,elevator,essentials,extra_people,family_kid_friendly,first_aid_kit,free_parking,gym,hair_dryer,hangers,heating,host_acceptance_rate,host_picture_url,host_response_rate,id,iron,kitchen,latitude,lock_on_bedroom_door,longtitude,number_of_reviews,pets_allowed,pool,price,property_type,review_scores_rating,room_type,security_deposit,shampoo,smoke_detector,washer,wheelchair_accessible,wireless_internet
60f1a2f1bc9dc8e90a6f1e08,2,1,1,Real Bed,0,1,1,strict,0,0,225,,1,0,0,0,0,0,0,0,0,0,1,91,https://a0.muscache.com/im/users/22348222/profile_pic/1441049651/original.jpg?aki_policy=profile_x_medium,100,7694559,0,1,42.3451341,0,-71.07513462,0,0,0,150,Apartment,0,Entire home/apt,0,0,1,1,0,1
60f1a2f1bc9dc8e90a6f1df9,2,0,1,Real Bed,1,1,0,flexible,0,0,20,,1,0,1,0,0,0,0,0,0,1,1,90,https://a0.muscache.com/im/users/19798741/profile_pic/1408108690/original.jpg?aki_policy=profile_x_medium,80,13215952,0,1,42.30992056,0,-71.11072692,0,1,0,69,Apartment,0,Private room,0,1,0,1,0,1
60f1a2f1bc9dc8e90a6f1e03,5,1,1,Real Bed,1,2,1,strict,1,0,25,Spacious well equipped apartment in good area that was sub floor so a little dark. ,1,0,1,25,1,0,0,0,1,1,1,91,https://a2.muscache.com/im/users/32532791/profile_pic/1430696380/original.jpg?aki_policy=profile_x_medium,100,13711334,1,1,42.35150365,0,-71.08710415,1,0,0,225,Apartment,80,Entire home/apt,0,0,1,1,0,1
60f1a2f1bc9dc8e90a6f1e0d,1,0,1.5,Real Bed,1,1,0,strict,0,1,50,"Everything was great, maybe watch out for the landlady though.",1,0,1,0,0,0,0,0,1,1,1,33,https://a2.muscache.com/im/pictures/e49e4396-07b3-46de-9af7-dd18227d1eae.jpg?aki_policy=profile_x_medium,100,9723217,1,0,42.35540779,0,-71.13875387,1,0,0,45,House,100,Private room,0,1,0,0,0,1
60f1a2f1bc9dc8e90a6f1e13,1,1,1,Real Bed,1,1,0,flexible,1,0,0,,1,0,1,0,0,0,0,0,0,1,1,0,https://a2.muscache.com/im/pictures/20b165e7-af03-4ec3-84ab-e4985b46400d.jpg?aki_policy=profile_x_medium,0,14672735,0,1,42.31978117,1,-71.10467022,0,0,0,65,Apartment,0,Private room,0,0,1,1,0,1
60f1a2f1bc9dc8e90a6f1e28,1,1,1,Couch,1,1,0,strict,0,0,25,,1,0,1,0,1,0,0,0,0,0,0,100,https://a2.muscache.com/im/pictures/567ac05e-0f2c-4471-927c-fdf15ce0dfcc.jpg?aki_policy=profile_x_medium,100,14300751,0,1,42.325872,0,-71.07755316,3,0,0,22,House,93,Shared room,0,0,1,1,0,1
60f1a2f1bc9dc8e90a6f1e2c,1,0,1,Real Bed,1,1,0,flexible,0,0,0,,1,0,1,0,0,0,0,0,1,1,0,100,https://a2.muscache.com/im/pictures/fd6e4381-4258-4b39-90e3-af78a0180f0a.jpg?aki_policy=profile_x_medium,92,14272646,1,1,42.28457495,0,-71.09531868,0,0,0,40,Apartment,0,Private room,0,1,0,0,0,1
60f1a2f1bc9dc8e90a6f1e4b,2,1,1,Real Bed,1,1,1,strict,0,1,0,"Great location for a short stay in Boston, very accessible to public transport, cafes, bars, etc. Rooftop deck access also a huge plus and fantastic views of the skyline which we really enjoyed. Overall very nice place and would recommend to anyone coming through Boston for holiday and sight seeing. ",1,0,1,0,1,0,0,0,1,1,1,94,https://a2.muscache.com/im/pictures/a876f39f-e97b-4854-bad2-13752f81abe8.jpg?aki_policy=profile_x_medium,91,10427882,1,1,42.34407347,0,-71.0778515,6,0,0,229,Apartment,93,Entire home/apt,0,1,0,1,0,1
60f1a2f1bc9dc8e90a6f1e55,1,0,1,Real Bed,1,1,1,flexible,1,1,0,"David was very helpful, probably more accomodating to this first time traveler than he intended. It is a good place to stay.",0,0,1,0,0,1,0,0,0,1,1,100,https://a2.muscache.com/im/pictures/fd6e4381-4258-4b39-90e3-af78a0180f0a.jpg?aki_policy=profile_x_medium,92,10381729,0,1,42.28635522,1,-71.09483015,34,0,0,44,Apartment,91,Private room,0,0,1,0,0,1
60f1a2f1bc9dc8e90a6f1e80,3,1,1,Real Bed,1,1,1,flexible,1,0,0,,0,0,1,0,1,0,0,0,0,0,1,0,https://a1.muscache.com/im/users/35950087/profile_pic/1434459988/original.jpg?aki_policy=profile_x_medium,0,7240149,0,1,42.34862912,0,-71.08561477,0,0,0,300,Apartment,0,Entire home/apt,0,1,1,0,0,1
60f1a2f1bc9dc8e90a6f1e84,2,0,1,Real Bed,1,1,1,flexible,0,1,0,,1,0,1,0,0,1,0,0,1,1,1,0,https://a2.muscache.com/im/pictures/a26dd408-066a-4f1c-84e3-a5965420afd5.jpg?aki_policy=profile_x_medium,0,9532771,0,1,42.3232429,0,-71.11357115,0,0,0,80,Apartment,0,Private room,0,1,1,0,0,1
60f1a2f1bc9dc8e90a6f1e95,2,1,1,Real Bed,1,1,0,flexible,0,0,45,,1,0,1,15,1,0,0,0,0,0,1,100,https://a2.muscache.com/im/pictures/cbc0a933-6f80-4bf8-8b48-3df5554d85b8.jpg?aki_policy=profile_x_medium,100,8336388,0,1,42.34064075,0,-71.15135645,0,0,0,103,Apartment,0,Private room,100,1,1,1,0,1
60f1a2f1bc9dc8e90a6f1e97,4,1,2.5,Real Bed,2,2,1,strict,1,0,125,"Stayed here while visiting family in Boston.  Had a great experience!  Truly a luxurious penthouse with a rooftop deck that had beautiful 360 degree views.  Located in a very quiet neighborhood close to downtown, a very spacious multilevel brownstone.  I would definitely come back!",1,0,1,0,1,0,0,0,0,0,1,54,https://a1.muscache.com/im/users/36559227/profile_pic/1435103516/original.jpg?aki_policy=profile_x_medium,100,6972426,0,1,42.34141201,0,-71.08113734,19,0,0,575,Townhouse,99,Entire home/apt,500,1,1,1,0,1
60f1a2f1bc9dc8e90a6f1e9f,3,1,1.5,Real Bed,1,1,0,flexible,0,1,100,This is an excellent location walkable to many points of interest and close to restaurants and shopping.  The place was very clean and comfortable.  The neighborhood and building was quiet.,1,0,1,0,0,0,0,0,0,1,1,88,https://a2.muscache.com/im/pictures/d7a0ffbe-0295-496f-bdd6-ad57a9a032bb.jpg?aki_policy=profile_x_medium,100,13015353,0,1,42.35168134,0,-71.08706448,2,0,0,350,Condominium,80,Entire home/apt,500,0,0,1,0,0
60f1a2f1bc9dc8e90a6f1ea0,4,1,2,Real Bed,2,3,0,moderate,1,1,45,The reservation was canceled 27 days before arrival. This is an automated posting.,1,1,1,17,1,0,1,1,1,1,1,0,https://a2.muscache.com/im/users/246083/profile_pic/1424594021/original.jpg?aki_policy=profile_x_medium,0,5412487,1,1,42.32849574,0,-71.10903339,1,1,0,160,Loft,0,Entire home/apt,300,1,1,1,1,1
60f1a2f1bc9dc8e90a6f1ebe,4,1,1,Real Bed,1,2,1,strict,1,1,100,,1,1,1,10,0,0,1,1,1,1,1,100,https://a2.muscache.com/im/pictures/3c688581-ec15-40aa-bddd-5c4a9efef643.jpg?aki_policy=profile_x_medium,100,14573486,1,1,42.35067613,1,-71.06137718,0,0,0,270,Apartment,0,Entire home/apt,250,1,1,1,0,1
60f1a2f1bc9dc8e90a6f1e07,1,1,1,Real Bed,0,1,1,strict,1,0,10,"Decent small studio, exactly as described. Close to Hynes Convention Center, MIT and Copley. Keys are collected and dropped off two blocks away. Bernie''s response is prompt and professional. ",0,0,0,0,0,0,0,0,0,0,1,95,https://a1.muscache.com/im/users/17194624/profile_pic/1403621649/original.jpg?aki_policy=profile_x_medium,96,4020650,0,0,42.35227317,0,-71.08256662,67,0,0,139,Apartment,81,Entire home/apt,0,1,1,0,0,1
60f1a2f1bc9dc8e90a6f1e0f,1,0,1,Airbed,1,1,0,moderate,1,0,50,,0,0,1,0,0,0,0,0,0,1,1,94,https://a0.muscache.com/im/users/16186589/profile_pic/1443582037/original.jpg?aki_policy=profile_x_medium,100,14747561,1,1,42.3042288,1,-71.07255794,0,0,0,40,Apartment,0,Private room,500,0,1,0,0,1
