,Feature_A,Feature_B,Correlation
0,id,id,1.0
1,id,host_response_rate,-0.04604120108098609
2,id,host_acceptance_rate,0.03254848758334241
3,id,latitude,0.08984192115892303
4,id,longtitude,-0.010871398426573035
5,id,accomodates,-0.050574430809028355
6,id,bathrooms,-0.004475859783785153
7,id,bedrooms,-0.049580615305885166
8,id,beds,-0.04619928281320913
9,id,price,-0.05919774035226149
10,id,security_deposit,-0.0802382412231228
11,id,cleaning_fee,-0.1407892739414087
12,id,extra_people,-0.06640426805932383
13,id,number_of_reviews,-0.4379885460695023
14,id,review_scores_rating,-0.32045901962911
15,id,wireless_internet,-0.036248988637513184
16,id,smoke_detector,0.048559798488314876
17,id,air_conditioning,-0.07097533829112601
18,id,heating,-0.07605996346184662
19,id,cable_tv,-0.251039761341009
20,id,washer,-0.037376528027891764
21,id,dryer,0.055605785845830286
22,id,family_kid_friendly,0.0392339693976315
23,id,kitchen,-0.012355695158978976
24,id,free_parking,-0.03476455013003381
25,id,carbon_monoxide,0.030128145856666105
26,id,pets_allowed,0.0244077571161036
27,id,essentials,0.1962239713684593
28,id,checkin_24hr,0.09196890423285838
29,id,lock_on_bedroom_door,0.24120619926135886
30,id,pool,0.0020848074887562197
31,id,hair_dryer,0.19144531943673862
32,id,gym,0.03658202208724836
33,id,wheelchair_accessible,-0.038687208320389355
34,id,iron,0.2121559661233459
35,id,shampoo,0.11582314533172904
36,id,hangers,0.2995086473981452
37,id,first_aid_kit,-0.034668273480159946
38,id,elevator,0.05056665433947572
39,host_response_rate,id,-0.04604120108098609
40,host_response_rate,host_response_rate,1.0
41,host_response_rate,host_acceptance_rate,0.7659509006863121
42,host_response_rate,latitude,-0.03306598965748321
43,host_response_rate,longtitude,0.06341160010325919
44,host_response_rate,accomodates,0.07818248040321128
45,host_response_rate,bathrooms,0.0402024316306515
46,host_response_rate,bedrooms,0.01456883921912638
47,host_response_rate,beds,0.053758039391660115
48,host_response_rate,price,-0.04677232752021151
49,host_response_rate,security_deposit,0.057971361580878324
50,host_response_rate,cleaning_fee,0.17582906546776253
51,host_response_rate,extra_people,0.10959088555502501
52,host_response_rate,number_of_reviews,0.21493794610129002
53,host_response_rate,review_scores_rating,0.30155086389081537
54,host_response_rate,wireless_internet,0.0948037411025348
55,host_response_rate,smoke_detector,0.00736639977570708
56,host_response_rate,air_conditioning,0.13001836533932667
57,host_response_rate,heating,0.06627998240012908
58,host_response_rate,cable_tv,0.04125147826685049
59,host_response_rate,washer,-0.0017074504005947164
60,host_response_rate,dryer,0.08258892839839067
61,host_response_rate,family_kid_friendly,0.09042593230462143
62,host_response_rate,kitchen,-0.010183440732814032
63,host_response_rate,free_parking,0.035569806333766024
64,host_response_rate,carbon_monoxide,0.07804997533303781
65,host_response_rate,pets_allowed,0.001848572640626361
66,host_response_rate,essentials,0.08034388745040788
67,host_response_rate,checkin_24hr,0.11819880364220343
68,host_response_rate,lock_on_bedroom_door,0.03218832223943619
69,host_response_rate,pool,0.005796391933592525
70,host_response_rate,hair_dryer,0.16728503094603317
71,host_response_rate,gym,0.00024069552694118255
72,host_response_rate,wheelchair_accessible,-0.04773363935358475
73,host_response_rate,iron,0.1639315868129248
74,host_response_rate,shampoo,0.17143258159680255
75,host_response_rate,hangers,0.14394871301984777
76,host_response_rate,first_aid_kit,0.05734051460390361
77,host_response_rate,elevator,-0.039385344569262376
78,host_acceptance_rate,id,0.03254848758334241
79,host_acceptance_rate,host_response_rate,0.7659509006863121
80,host_acceptance_rate,host_acceptance_rate,1.0
81,host_acceptance_rate,latitude,-0.10243035831873006
82,host_acceptance_rate,longtitude,0.016981307918995898
83,host_acceptance_rate,accomodates,0.006819209034550552
84,host_acceptance_rate,bathrooms,-0.022483830956425116
85,host_acceptance_rate,bedrooms,-0.03042824400777982
86,host_acceptance_rate,beds,0.027706343219502248
87,host_acceptance_rate,price,-0.10564213849524609
88,host_acceptance_rate,security_deposit,0.09546027451237903
89,host_acceptance_rate,cleaning_fee,0.07355555305893945
90,host_acceptance_rate,extra_people,0.11893660150387855
91,host_acceptance_rate,number_of_reviews,0.2662164911290883
92,host_acceptance_rate,review_scores_rating,0.279210417881673
