,host_response_rate,host_acceptance_rate,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
1,99,93,2,2,2,1.0,1,1,1,89,0,25,20,8,98,1,1,1,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,0,"Although we did not meet Todd, he was very accommodating through messages, offering any help if needed. The place was very spacious and with a good location. Really enjoyed the stay."
2,100,100,1,1,3,1.0,1,2,1,150,0,65,0,33,84,3,0,1,1,1,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,"The location really can''t be beat, and the neighborhood is charming. You''ll get your exercise with the stairs up to the apartment, which is small but cozy and clean. There aren''t a whole lot of amenities, so you may want to bring along things like Kleenex and washcloths. If you stay here you''ll be surrounded by amazing places to eat and be within walking distance from a lot of places of historic interest."
3,0,0,1,2,1,1.0,1,1,1,85,0,30,0,2,100,2,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,1,The host canceled this reservation 13 days before arrival. This is an automated posting.
10,100,98,1,1,2,1.0,1,1,1,129,0,60,0,28,96,2,1,1,1,1,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,0,"We had a great stay at Paul''s place! It was clean, warm and cozy- just as advertised. Just a quick walk to the T to get into downtown, which was very convenient. You stay here again and definitely recommend! "
11,78,82,1,2,1,1.0,1,1,1,55,0,0,0,7,89,2,1,1,0,1,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,"Friendly host, nice place."
17,100,100,3,2,1,1.0,1,1,1,75,0,25,0,1,100,3,1,1,0,1,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,1,1,0,"She gave me a different room, which was great. Balcony and view of neighborhood. Quiet. Yay!"
18,100,100,2,2,1,1.5,1,1,1,51,95,15,10,7,94,2,1,1,0,1,1,1,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,0,0,"a cosy room within a house of decent couple.
i''d stay there again."
19,100,91,1,1,5,1.0,1,2,1,225,0,25,25,1,80,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,0,0,Spacious well equipped apartment in good area that was sub floor so a little dark. 
20,100,99,2,2,3,3.5,1,2,1,65,0,20,20,22,95,1,1,0,1,1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"The house is in a quiet neighborhood. Susan is very nice, friendly, respectful and considerate. My friend and I had a great time there. The room was clean and private, the bed was comfortable. You won''t regret choosing it!"
23,96,95,1,1,1,1.0,0,1,1,139,0,10,0,67,81,1,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,"Decent small studio, exactly as described. Close to Hynes Convention Center, MIT and Copley. Keys are collected and dropped off two blocks away. Bernie''s response is prompt and professional. "
