"Population estimates, July 1, by census metropolitan area and census agglomeration, 2016 boundaries 1 2 3 4 5 6 7",,,,,,,,,,,
Annual,,,,,,,,,,,
Table: 17-10-0135-01,,,,,,,,,,,
Release date: 2021-01-14,,,,,,,,,,,
"Geography: Census metropolitan area, Census agglomeration, Census metropolitan area part, Census agglomeration part",,,,,,,,,,,
,,,,,,,,,,,
,,Males,,,,,Females,,,,
Geography,Age group 8,2016,2017,2018,2019,2020,2016,2017,2018,2019,2020
"Ottawa - Gatineau (CMA), Ontario/Quebec",,Persons,,,,,,,,,
,0 to 4 years,"37,345","37,310","37,255","36,982","36,910","36,360","36,380","36,263","36,052","35,804"
,5 to 9 years,"39,583","40,126","40,467","40,780","40,809","38,577","39,073","39,361","39,673","40,037"
,10 to 14 years,"38,346","39,265","40,104","40,833","41,751","37,170","38,128","39,082","39,978","40,829"
,15 to 19 years,"41,584","41,643","42,120","43,031","43,138","40,038","39,994","40,512","41,527","41,843"
,20 to 24 years,"50,529","51,272","51,914","52,502","52,333","47,753","48,787","49,541","49,785","49,700"
,25 to 29 years,"47,531","49,611","51,708","53,878","55,695","46,135","48,295","50,359","52,333","53,929"
,30 to 34 years,"46,104","47,474","48,776","50,167","51,948","46,730","47,669","48,684","50,190","51,697"
,35 to 39 years,"44,042","45,176","46,911","48,860","50,272","46,822","47,808","48,798","49,988","51,425"
,40 to 44 years,"45,071","45,250","45,673","46,264","47,061","47,397","47,933","48,679","49,363","50,023"
,45 to 49 years,"47,307","47,188","47,041","47,069","47,100","48,339","48,561","48,643","48,695","48,833"
,50 to 54 years,"53,532","52,499","50,732","49,037","47,665","53,369","52,400","50,992","49,680","48,502"
,55 to 59 years,"48,640","50,015","51,544","52,754","53,363","50,206","51,300","52,282","53,068","53,342"
,60 to 64 years,"39,276","41,038","42,752","44,292","45,822","41,281","43,091","44,730","46,322","47,836"
,65 to 69 years,"32,769","33,137","33,784","34,821","36,041","35,301","36,006","36,815","37,781","39,238"
,70 to 74 years,"22,716","24,819","26,556","28,113","29,519","25,391","27,681","29,620","31,286","32,715"
,75 to 79 years,"15,253","16,077","17,051","18,058","19,050","18,320","19,165","20,242","21,413","22,422"
,80 to 84 years,"10,281","10,694","11,041","11,548","11,891","13,672","13,951","14,219","14,702","15,269"
,85 to 89 years,"5,734","5,995","6,222","6,390","6,620","9,644","9,767","9,982","10,093","10,161"
,90 years and older,"2,805","2,954","3,097","3,185","3,212","7,147","7,365","7,480","7,590","7,689"
,0 to 14 years,"115,274","116,701","117,826","118,595","119,470","112,107","113,581","114,706","115,703","116,670"
,15 to 64 years,"463,616","471,166","479,171","487,854","494,397","468,070","475,838","483,220","490,951","497,130"
,65 years and older,"89,558","93,676","97,751","102,115","106,333","109,475","113,935","118,358","122,865","127,494"
,,Years,,,,,,,,,
,Median age,38.8,38.7,38.7,38.7,38.7,40.6,40.6,40.6,40.5,40.5
,Average age,39,39.2,39.3,39.5,39.6,40.6,40.8,40.9,41,41.2
"Ottawa - Gatineau (CMA), Ontario part, Ontario",,Persons,,,,,,,,,
,0 to 4 years,"27,054","27,157","27,251","27,215","27,334","26,387","26,587","26,721","26,638","26,625"
,5 to 9 years,"29,106","29,498","29,698","29,938","29,947","28,440","28,718","28,920","29,144","29,431"
,10 to 14 years,"28,955","29,603","30,103","30,422","30,907","28,244","28,911","29,546","30,053","30,489"
,15 to 19 years,"32,034","32,247","32,724","33,309","33,435","30,847","30,900","31,515","32,338","32,600"
,20 to 24 years,"39,483","40,442","41,443","42,144","41,961","37,172","38,585","39,459","39,779","39,719"
,25 to 29 years,"36,521","38,282","40,012","41,958","43,731","35,393","37,178","38,816","40,517","42,186"
,30 to 34 years,"34,781","36,237","37,402","38,667","40,145","35,171","36,300","37,295","38,663","39,914"
,35 to 39 years,"32,164","33,212","34,849","36,646","38,086","34,654","35,517","36,494","37,620","38,955"
,40 to 44 years,"33,427","33,505","33,748","34,129","34,768","35,807","36,152","36,556","36,997","37,461"
,45 to 49 years,"35,626","35,562","35,414","35,331","35,239","36,411","36,814","37,006","37,118","37,240"
,50 to 54 years,"40,080","39,428","38,187","37,055","36,060","39,691","38,993","38,025","37,210","36,440"
,55 to 59 years,"35,865","37,092","38,457","39,644","40,266","36,986","38,025","38,902","39,621","39,952"
,60 to 64 years,"28,918","30,249","31,509","32,678","34,010","30,839","32,225","33,402","34,488","35,505"
,65 to 69 years,"24,593","24,727","25,159","25,877","26,723","26,903","27,307","27,828","28,571","29,640"
,70 to 74 years,"17,085","18,765","20,133","21,298","22,343","19,427","21,238","22,759","23,971","25,136"
,75 to 79 years,"11,818","12,451","13,149","13,787","14,427","14,285","14,956","15,743","16,660","17,329"
,80 to 84 years,"8,186","8,494","8,756","9,154","9,427","10,724","10,977","11,278","11,619","12,039"
,85 to 89 years,"4,673","4,881","5,072","5,196","5,338","7,630","7,703","7,849","7,973","8,039"
,90 years and older,"2,397","2,503","2,604","2,685","2,699","5,901","6,026","6,111","6,192","6,227"
,0 to 14 years,"85,115","86,258","87,052","87,575","88,188","83,071","84,216","85,187","85,835","86,545"
,15 to 64 years,"348,899","356,256","363,745","371,561","377,701","352,971","360,689","367,470","374,351","379,972"
,65 years and older,"68,752","71,821","74,873","77,997","80,957","84,870","88,207","91,568","94,986","98,410"
,,Years,,,,,,,,,
,Median age,38.6,38.5,38.4,38.3,38.3,40.6,40.5,40.5,40.4,40.3
,Average age,39.1,39.2,39.3,39.5,39.6,40.8,40.9,41,41.1,41.2
"Ottawa - Gatineau (CMA), Quebec part, Quebec",,Persons,,,,,,,,,
,0 to 4 years,"10,291","10,153","10,004","9,767","9,576","9,973","9,793","9,542","9,414","9,179"
,5 to 9 years,"10,477","10,628","10,769","10,842","10,862","10,137","10,355","10,441","10,529","10,606"
,10 to 14 years,"9,391","9,662","10,001","10,411","10,844","8,926","9,217","9,536","9,925","10,340"
,15 to 19 years,"9,550","9,396","9,396","9,722","9,703","9,191","9,094","8,997","9,189","9,243"
,20 to 24 years,"11,046","10,830","10,471","10,358","10,372","10,581","10,202","10,082","10,006","9,981"
,25 to 29 years,"11,010","11,329","11,696","11,920","11,964","10,742","11,117","11,543","11,816","11,743"
,30 to 34 years,"11,323","11,237","11,374","11,500","11,803","11,559","11,369","11,389","11,527","11,783"
,35 to 39 years,"11,878","11,964","12,062","12,214","12,186","12,168","12,291","12,304","12,368","12,470"
,40 to 44 years,"11,644","11,745","11,925","12,135","12,293","11,590","11,781","12,123","12,366","12,562"
,45 to 49 years,"11,681","11,626","11,627","11,738","11,861","11,928","11,747","11,637","11,577","11,593"
,50 to 54 years,"13,452","13,071","12,545","11,982","11,605","13,678","13,407","12,967","12,470","12,062"
,55 to 59 years,"12,775","12,923","13,087","13,110","13,097","13,220","13,275","13,380","13,447","13,390"
,60 to 64 years,"10,358","10,789","11,243","11,614","11,812","10,442","10,866","11,328","11,834","12,331"
,65 to 69 years,"8,176","8,410","8,625","8,944","9,318","8,398","8,699","8,987","9,210","9,598"
,70 to 74 years,"5,631","6,054","6,423","6,815","7,176","5,964","6,443","6,861","7,315","7,579"
,75 to 79 years,"3,435","3,626","3,902","4,271","4,623","4,035","4,209","4,499","4,753","5,093"
,80 to 84 years,"2,095","2,200","2,285","2,394","2,464","2,948","2,974","2,941","3,083","3,230"
,85 to 89 years,"1,061","1,114","1,150","1,194","1,282","2,014","2,064","2,133","2,120","2,122"
,90 years and older,408,451,493,500,513,"1,246","1,339","1,369","1,398","1,462"
,0 to 14 years,"30,159","30,443","30,774","31,020","31,282","29,036","29,365","29,519","29,868","30,125"
,15 to 64 years,"114,717","114,910","115,426","116,293","116,696","115,099","115,149","115,750","116,600","117,158"
,65 years and older,"20,806","21,855","22,878","24,118","25,376","24,605","25,728","26,790","27,879","29,084"
,,Years,,,,,,,,,
