"Postsecondary qualification holders aged 25 years and over by highest certificate, diploma or degree, STEM and BHASE (non-STEM) groupings for major field of study, sex and selected demographic characteristics 1 2",,,,,
Every 5 years,,,,,
Table: 37-10-0171-01,,,,,
Release date: 2020-03-17,,,,,
"Geography: Canada, Geographical region of Canada",,,,,
,,,,,
,,Ontario,,,
,,"Total, STEM and BHASE (non-STEM) groupings, Major field of study - Classification of Instructional Programs (CIP) 2016 3",,,
,,Males,,Females,
,,Number of persons,Percentage of persons,Number of persons,Percentage of persons
"Highest certificate, diploma or degree",Selected demographic characteristics,2016,2016,2016,2016
,,Number,Percent,Number,Percent
"No certificate, diploma or degree",25 to 64 years,"404,770",53.8,"348,225",46.2
,25 to 34 years,"76,690",57.9,"55,690",42.1
,35 to 44 years,"74,185",54.8,"61,130",45.2
,45 to 54 years,"113,985",54.3,"96,065",45.7
,55 to 64 years,"139,910",50.8,"135,345",49.2
,65 years and over,"255,465",41.4,"361,560",58.6
,Non immigrants 4 5,"403,505",52.8,"360,070",47.2
,Immigrants 4 6,"250,950",42.2,"343,710",57.8
,Non-permanent residents 4 7,"5,780",49.1,"6,000",50.9
,Total visible minority population 8,"144,790",42.5,"195,875",57.5
,South Asian 9,"39,855",40.2,"59,305",59.8
,Chinese,"33,370",41.3,"47,335",58.7
,Black,"20,945",45.8,"24,775",54.2
,Filipino,"3,860",40.3,"5,710",59.7
,Latin American,"10,070",47.8,"10,985",52.2
,Arab,"8,395",45.3,"10,150",54.7
,Southeast Asian 10,"11,130",41.9,"15,405",58.1
,West Asian 11,"6,225",42.3,"8,485",57.7
,Korean,775,33.3,"1,555",66.7
,Japanese,490,45.8,575,53.7
,"Visible minority, not included elsewhere 12","5,690",45.6,"6,775",54.3
,Multiple visible minorities 13,"3,980",45.2,"4,830",54.8
,Not a visible minority 8 14,"515,445",50.1,"513,905",49.9
,Total Aboriginal identity 15 16,"26,525",50.6,"25,855",49.4
,Single Aboriginal responses 17,"25,770",50.8,"24,955",49.2
,First Nations (North American Indian) 16,"18,205",49.9,"18,250",50.1
,Métis,"7,365",53.5,"6,405",46.5
,Inuk (Inuit),200,40,300,60
,Multiple Aboriginal responses 18,305,49.6,315,51.2
,Aboriginal responses not included elsewhere 19,450,43.3,580,55.8
,Non-Aboriginal identity,"633,710",48.1,"683,930",51.9
Secondary (high) school diploma or equivalency certificate 20,25 to 64 years,"895,020",50.6,"873,935",49.4
,25 to 34 years,"221,190",58.7,"155,840",41.3
,35 to 44 years,"200,580",54.6,"167,100",45.4
,45 to 54 years,"243,255",48.8,"255,435",51.2
,55 to 64 years,"229,990",43.8,"295,565",56.2
,65 years and over,"207,780",38.4,"333,390",61.6
,Non immigrants 4 5,"755,910",49.3,"776,990",50.7
,Immigrants 4 6,"336,860",44.5,"420,095",55.5
,Non-permanent residents 4 7,"10,025",49.5,"10,240",50.5
,Total visible minority population 8,"256,005",47.7,"280,205",52.3
,South Asian 9,"72,205",47.8,"78,720",52.2
,Chinese,"45,445",44,"57,740",56
,Black,"46,435",52,"42,885",48
,Filipino,"19,640",46.2,"22,835",53.8
,Latin American,"17,640",49.3,"18,140",50.7
,Arab,"10,670",49.3,"10,975",50.7
,Southeast Asian 10,"10,720",47,"12,065",52.9
,West Asian 11,"11,600",51.9,"10,745",48.1
,Korean,"5,125",40.8,"7,440",59.2
,Japanese,"1,655",39.9,"2,485",60
,"Visible minority, not included elsewhere 12","8,465",47.2,"9,485",52.8
,Multiple visible minorities 13,"6,400",48.9,"6,695",51.1
,Not a visible minority 8 14,"846,795",47.7,"927,115",52.3
,Total Aboriginal identity 15 16,"27,105",48.1,"29,285",51.9
,Single Aboriginal responses 17,"25,950",48,"28,085",52
,First Nations (North American Indian) 16,"15,940",47.8,"17,405",52.2
,Métis,"9,750",48.4,"10,400",51.6
,Inuk (Inuit),265,49.5,275,51.4
,Multiple Aboriginal responses 18,445,48.6,470,51.4
,Aboriginal responses not included elsewhere 19,715,49.5,735,50.9
,Non-Aboriginal identity,"1,075,695",47.7,"1,178,040",52.3
"Postsecondary certificate, diploma or degree",25 to 64 years,"2,198,830",46.7,"2,508,340",53.3
,25 to 34 years,"550,240",45.2,"668,355",54.8
,35 to 44 years,"538,270",44.8,"662,190",55.2
,45 to 54 years,"601,915",47.4,"668,445",52.6
,55 to 64 years,"508,405",50,"509,355",50
,65 years and over,"509,850",53.4,"445,475",46.6
,Non immigrants 4 5,"1,657,405",47.4,"1,840,345",52.6
,Immigrants 4 6,"1,008,495",48.5,"1,069,440",51.5
,Non-permanent residents 4 7,"42,775",49.3,"44,020",50.7
,Total visible minority population 8,"765,000",47.1,"859,600",52.9
,South Asian 9,"253,460",52,"234,165",48
,Chinese,"164,105",48.1,"177,410",51.9
,Black,"95,085",41.7,"132,805",58.3
,Filipino,"56,520",35.6,"102,275",64.4
,Latin American,"36,830",44.9,"45,155",55.1
,Arab,"44,220",53.9,"37,765",46.1
,Southeast Asian 10,"17,715",45.8,"20,955",54.2
,West Asian 11,"34,955",50.8,"33,860",49.2
,Korean,"21,910",47.3,"24,440",52.7
,Japanese,"6,495",40.1,"9,695",59.9
,"Visible minority, not included elsewhere 12","15,625",44.7,"19,320",55.3
,Multiple visible minorities 13,"18,090",45.4,"21,745",54.6
,Not a visible minority 8 14,"1,943,685",48.1,"2,094,210",51.9
,Total Aboriginal identity 15 16,"48,710",43.3,"63,875",56.7
,Single Aboriginal responses 17,"47,000",43.3,"61,475",56.7
,First Nations (North American Indian) 16,"26,805",42,"37,075",58
,Métis,"19,770",45.3,"23,865",54.7
,Inuk (Inuit),420,43.8,540,56.3
,Multiple Aboriginal responses 18,785,44.5,975,55.2
,Aboriginal responses not included elsewhere 19,925,39.4,"1,425",60.6
,Non-Aboriginal identity,"2,659,970",47.9,"2,889,930",52.1
Apprenticeship or trades certificate or diploma,25 to 64 years,"315,975",70.8,"130,420",29.2
,25 to 34 years,"57,875",72,"22,550",28
,35 to 44 years,"63,780",69,"28,670",31
,45 to 54 years,"93,080",69.6,"40,695",30.4
,55 to 64 years,"101,235",72.4,"38,505",27.6
,65 years and over,"135,405",71.5,"54,020",28.5
,Non immigrants 4 5,"311,750",74.3,"108,050",25.7
,Immigrants 4 6,"137,375",64.8,"74,765",35.2
,Non-permanent residents 4 7,"2,245",57.9,"1,625",41.9
,Total visible minority population 8,"59,140",57.9,"43,030",42.1
,South Asian 9,"13,180",63.9,"7,435",36.1
,Chinese,"5,615",58,"4,070",42
,Black,"17,070",56.8,"12,970",43.2
,Filipino,"5,290",50.4,"5,205",49.6
,Latin American,"5,755",58.6,"4,070",41.4
,Arab,"2,610",63.7,"1,485",36.2
,Southeast Asian 10,"1,920",45.9,"2,265",54.1
,West Asian 11,"2,360",55.9,"1,865",44.1
,Korean,555,50,555,50
,Japanese,455,58.7,325,41.9
,"Visible minority, not included elsewhere 12","2,605",63.2,"1,515",36.8
,Multiple visible minorities 13,"1,745",57.8,"1,275",42.2
,Not a visible minority 8 14,"392,235",73.5,"141,400",26.5
,Total Aboriginal identity 15 16,"14,760",71.7,"5,820",28.3
,Single Aboriginal responses 17,"14,325",71.8,"5,625",28.2
,First Nations (North American Indian) 16,"8,555",71.4,"3,430",28.6
,Métis,"5,655",72.5,"2,140",27.5
,Inuk (Inuit),110,66.7,55,33.3
,Multiple Aboriginal responses 18,210,68.9,95,31.1
,Aboriginal responses not included elsewhere 19,225,70.3,100,31.3
,Non-Aboriginal identity,"436,620",71,"178,615",29
"College, CEGEP or other non-university certificate or diploma",25 to 64 years,"762,500",42.8,"1,020,025",57.2
,25 to 34 years,"194,875",45.6,"232,805",54.4
,35 to 44 years,"187,215",42.7,"251,610",57.3
,45 to 54 years,"207,030",41.3,"293,705",58.7
,55 to 64 years,"173,375",41.7,"241,910",58.3
,65 years and over,"137,240",40.3,"203,350",59.7
,Non immigrants 4 5,"638,430",42.5,"862,950",57.5
,Immigrants 4 6,"255,045",42,"352,185",58
,Non-permanent residents 4 7,"6,260",43.2,"8,240",56.8
,Total visible minority population 8,"182,175",41.6,"255,710",58.4
,South Asian 9,"49,390",48.8,"51,780",51.2
,Chinese,"29,140",40.8,"42,340",59.2
,Black,"37,025",35.5,"67,335",64.5
,Filipino,"16,290",36.4,"28,475",63.6
,Latin American,"12,655",40.8,"18,330",59.2
,Arab,"7,645",48.9,"7,995",51.1
,Southeast Asian 10,"6,325",45.8,"7,480",54.2
,West Asian 11,"6,535",47.4,"7,250",52.6
,Korean,"3,335",42.8,"4,455",57.2
,Japanese,"1,555",33.2,"3,120",66.7
,"Visible minority, not included elsewhere 12","6,690",40.9,"9,675",59.1
,Multiple visible minorities 13,"5,590",42.8,"7,465",57.2
,Not a visible minority 8 14,"717,565",42.6,"967,670",57.4
,Total Aboriginal identity 15 16,"22,955",37.3,"38,610",62.7
,Single Aboriginal responses 17,"22,165",37.3,"37,255",62.7
,First Nations (North American Indian) 16,"12,695",35.9,"22,645",64.1
,Métis,"9,285",39.4,"14,275",60.6
,Inuk (Inuit),185,35.9,335,65
,Multiple Aboriginal responses 18,360,39.3,550,60.1
,Aboriginal responses not included elsewhere 19,425,34.6,800,65
,Non-Aboriginal identity,"876,785",42.5,"1,184,765",57.5
University certificate or diploma below bachelor level,25 to 64 years,"75,935",44.4,"94,995",55.6
,25 to 34 years,"16,090",45.5,"19,265",54.5
,35 to 44 years,"17,645",42.2,"24,205",57.8
,45 to 54 years,"22,225",43.8,"28,515",56.2
,55 to 64 years,"19,975",46.5,"23,010",53.5
,65 years and over,"23,590",43.8,"30,295",56.2
,Non immigrants 4 5,"46,570",44.1,"59,090",55.9
,Immigrants 4 6,"50,745",44.5,"63,220",55.5
,Non-permanent residents 4 7,"2,205",42.6,"2,975",57.4
,Total visible minority population 8,"40,695",44,"51,755",56
,South Asian 9,"11,585",53,"10,290",47
,Chinese,"7,590",42.2,"10,400",57.8
,Black,"5,485",41.7,"7,670",58.3
,Filipino,"5,190",32.5,"10,765",67.5
,Latin American,"2,535",44.8,"3,120",55.1
,Arab,"2,115",49.4,"2,170",50.7
,Southeast Asian 10,780,43.5,"1,015",56.5
,West Asian 11,"1,675",47.7,"1,840",52.4
,Korean,"1,580",44.8,"1,950",55.2
,Japanese,280,39.4,435,61.3
,"Visible minority, not included elsewhere 12",875,48.6,925,51.4
,Multiple visible minorities 13,"1,020",46.7,"1,160",53.1
,Not a visible minority 8 14,"58,835",44.4,"73,535",55.6
,Total Aboriginal identity 15 16,"1,515",36,"2,690",64
,Single Aboriginal responses 17,"1,450",35.7,"2,615",64.3
,First Nations (North American Indian) 16,950,34.9,"1,775",65.1
,Métis,490,37.7,810,62.3
,Inuk (Inuit),10,28.6,30,85.7
,Multiple Aboriginal responses 18,40,44.4,50,55.6
,Aboriginal responses not included elsewhere 19,25,50,30,60
,Non-Aboriginal identity,"98,010",44.4,"122,600",55.6
"University certificate, diploma or degree at bachelor level or above",25 to 64 years,"1,044,420",45.3,"1,262,900",54.7
,25 to 34 years,"281,395",41.7,"393,730",58.3
,35 to 44 years,"269,630",43,"357,705",57
,45 to 54 years,"279,580",47.8,"305,535",52.2
,55 to 64 years,"213,820",50.9,"205,925",49.1
,65 years and over,"213,620",57.5,"157,805",42.5
,Non immigrants 4 5,"660,650",44.9,"810,255",55.1
,Immigrants 4 6,"565,325",49.4,"579,275",50.6
,Non-permanent residents 4 7,"32,065",50.7,"31,180",49.3
,Total visible minority population 8,"482,985",48.7,"509,105",51.3
,South Asian 9,"179,300",52.1,"164,660",47.9
,Chinese,"121,760",50.2,"120,605",49.8
,Black,"35,505",44.2,"44,825",55.8
,Filipino,"29,745",34,"57,825",66
,Latin American,"15,890",44.7,"19,640",55.3
,Arab,"31,850",54.9,"26,120",45.1
,Southeast Asian 10,"8,690",46,"10,185",54
,West Asian 11,"24,395",51.6,"22,905",48.4
,Korean,"16,445",48.5,"17,480",51.5
,Japanese,"4,210",42,"5,820",58
,"Visible minority, not included elsewhere 12","5,465",43.1,"7,205",56.9
,Multiple visible minorities 13,"9,730",45.1,"11,835",54.9
,Not a visible minority 8 14,"775,050",46,"911,600",54
,Total Aboriginal identity 15 16,"9,485",36.2,"16,750",63.8
,Single Aboriginal responses 17,"9,065",36.2,"15,980",63.8
,First Nations (North American Indian) 16,"4,610",33.3,"9,220",66.7
,Métis,"4,340",39.5,"6,635",60.5
,Inuk (Inuit),120,50,120,50
,Multiple Aboriginal responses 18,170,37.8,280,62.2
,Aboriginal responses not included elsewhere 19,250,33.6,495,66.4
,Non-Aboriginal identity,"1,248,555",47.1,"1,403,950",52.9
,,,,,
Symbol legend:,,,,,
,,,,,
Footnotes:,,,,,
1,"Source:  Statistics Canada, Census of Population, 2016.",,,,
2,"Postsecondary qualification holders refers to those whose highest level of educational attainment is an apprenticeship or trades certificate or diploma (including certificates from ""centres de formation professionnelle"" found in Quebec); college, CEGEP or other non-university certificate or diploma; or a university certificate, diploma or degree.",,,,
3,"This variable shows a variant of CIP which classifies fields of study into STEM (science, technology, engineering, and math and computer sciences) and BHASE (non-STEM) categories and sub-categories. For more information on the CIP classification, see the Classification of Instructional Programs, Canada 2016. This variant is different from the STEM variant used in the 2011 National Household Survey. For information on comparability between the two variants, refer to the Education Reference Guide, Census of Population, 2016, Catalogue no. 98-500-X2016013.",,,,
4,"The immigrant status variable refers to whether the person is a non-immigrant, an immigrant or a non-permanent resident. For more information on immigration variables, including information on their classifications, the questions from which they are derived, data quality and their comparability with other sources of data, please refer to the Place of Birth, Generation Status, Citizenship and Immigration Reference Guide, Census of Population, 2016.",,,,
5,"""Non-immigrants"" includes persons who are Canadian citizens by birth.",,,,
6,"""Immigrants"" includes persons who are, or who have ever been, landed immigrants or permanent residents. Such persons have been granted the right to live in Canada permanently by immigration authorities. Immigrants who have obtained Canadian citizenship by naturalization are included in this category. In the 2016 Census of Population, ""Immigrants"" includes immigrants who landed in Canada on or prior to May 10, 2016.",,,,
7,"""Non-permanent residents"" includes persons from another country who have a work or study permit or who are refugee claimants, and their family members sharing the same permit and living in Canada with them.",,,,
