"Incident-based crime statistics, by detailed violations, Canada, provinces, territories and Census Metropolitan Areas c 1 2 3 4 5 6",,,,,,
Annual,,,,,,
Table: 35-10-0177-01 (formerly CANSIM 252-0051),,,,,,
Release date: 2020-10-29,,,,,,
"Geography: Canada, Province or territory, Census metropolitan area, Census metropolitan area part",,,,,,
,,,,,,
,,"Incident-Based Crime Statistics (rate per 100,000)",,,,
Geography 3 7,Violations,2015,2016,2017,2018,2019
"Ottawa-Gatineau, Ontario/Quebec [24505/35505] 9 10 11 12 (map)",Total violent Criminal Code violations  [100] 13,743.51,725.81,828.53,863.75,893.69
,Total property crime violations  [200],"2,197.74","2,262.39","2,201.69","2,381.46","2,534.32"
,Total other Criminal Code violations  [300],508.82,556.48,560.94,580.42,588.73
,Total impaired driving  [910] 14 15,107.91,103.76,90.29,88.47,97.18
,Total other Criminal Code traffic violations  [920] 15,168.72,174.51,188.14,173.79,151.85
,Total drug violations  [401],225.34,198.79,171.7,137.81,91.52
,"Possession, cannabis (pre-legalization)  [4140] 16",119.86,102.35,83.74,58.12,0
,"Possession, cocaine  [4120]",25.95,21.02,15.79,13.85,15.24
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",39.8,43.07,39.51,35.84,34.68
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",15.83,14.36,12.73,7.85,0
,"Total cocaine, trafficking, production or distribution  [430] 17",12.63,9.92,10.26,12.28,13.35
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",11.19,8.07,9.53,7.85,11.33
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0.08,0,0.15,0,0.07
,Total Cannabis Act  [450] 16,..,..,..,2,16.85
,Youth Criminal Justice Act  [6450],11.64,9.18,9.24,10.64,7.9
,Total other Federal Statutes  [610],18.95,23.24,22.04,22.49,31.11
,Bankruptcy Act  [6100],0,0.22,0,0.07,0.14
,Income Tax Act  [6150],0,0.15,0,0,0
,Canada Shipping Act  [6200],13.01,17.02,16.73,13.57,24.26
,Canada Health Act  [6250],0.08,0,0,0,0
,Customs Act  [6300],0.08,0.22,0.15,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.3,0.3,0.29,0.29,0.14
,Total Immigration and Refugee Protection Act  [620] 20,0.46,0.3,0.22,0.43,0.49
,Firearms Act  [6550],0,0.07,0,0.07,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],5.02,4.96,4.66,8.07,6.08
"Ottawa-Gatineau, Ontario part [35505] 9 10 12 (map)",Total violent Criminal Code violations  [100] 13,621.18,616.46,718.02,771.94,819.89
,Total property crime violations  [200],"2,280.72","2,367.07","2,306.09","2,565.57","2,758.83"
,Total other Criminal Code violations  [300],445.07,501.57,533.03,566.55,589.3
,Total impaired driving  [910] 14 15,83.25,76.01,71.56,73.53,81.57
,Total other Criminal Code traffic violations  [920] 15,31.42,28.33,28.07,23.54,25.66
,Total drug violations  [401],150.75,128.96,111.32,83.28,66.35
,"Possession, cannabis (pre-legalization)  [4140] 16",86.29,72,58.92,39.3,0
,"Possession, cocaine  [4120]",22.23,18.76,12.07,10.22,13.66
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",15.66,16.12,15.52,13.5,20.16
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",8.08,8.79,7.47,3.28,0
,"Total cocaine, trafficking, production or distribution  [430] 17",12.53,9.38,10.54,11.16,13.47
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",5.86,3.91,6.61,4.69,9.71
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0.1,0,0.19,0,0
,Total Cannabis Act  [450] 16,..,..,..,1.13,9.35
,Youth Criminal Justice Act  [6450],2.93,1.56,1.72,1.41,0.37
,Total other Federal Statutes  [610],24.65,30.29,28.64,29.07,39.78
,Bankruptcy Act  [6100],0,0.29,0,0.09,0.18
,Income Tax Act  [6150],0,0.1,0,0,0
,Canada Shipping Act  [6200],17.28,22.47,21.94,17.82,31.62
,Canada Health Act  [6250],0.1,0,0,0,0
,Customs Act  [6300],0.1,0.29,0.19,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.4,0.39,0.38,0.38,0.18
,Total Immigration and Refugee Protection Act  [620] 20,0.2,0.2,0.1,0.47,0.46
,Firearms Act  [6550],0,0.1,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],6.57,6.45,6.04,10.32,7.33
"Kingston, Ontario [35521] 21 (map)",Total violent Criminal Code violations  [100] 13,839.19,789.03,999,983.1,"1,036.98"
,Total property crime violations  [200],"3,499.39","3,432.75","3,434.11","3,701.10","3,717.75"
,Total other Criminal Code violations  [300],557.62,631.23,704.02,688.58,806.02
,Total impaired driving  [910] 14 15,63.32,78.6,64.49,67.34,49.08
,Total other Criminal Code traffic violations  [920] 15,35.04,32.29,31.05,32.79,26.56
,Total drug violations  [401],90.99,98.71,93.75,103.64,63.51
,"Possession, cannabis (pre-legalization)  [4140] 16",15.98,15.84,16.72,7.03,0
,"Possession, cocaine  [4120]",3.07,10.36,4.78,5.27,5.77
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",25.21,35.34,44.78,37.47,35.8
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",16.6,12.19,4.78,21.66,0
,"Total cocaine, trafficking, production or distribution  [430] 17",4.92,7.92,6.57,7.61,2.89
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",25.21,17.06,16.12,23.42,17.32
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0.59,0
,Total Cannabis Act  [450] 16,..,..,..,0.59,1.73
,Youth Criminal Justice Act  [6450],6.15,5.48,1.79,14.05,9.24
,Total other Federal Statutes  [610],11.07,7.92,14.33,16.39,6.35
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],1.84,6.7,5.37,8.2,0.58
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0.61,0.6,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0.61,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,1.84,0,5.37,4.68,1.73
,Firearms Act  [6550],2.46,0,0,0,0
,National Defence Act  [6560],0,0,0,0,0
,Other federal statutes  [6900],4.3,0.61,2.99,3.51,4.04
"Belleville, Ontario [35522] 21 (map)",Total violent Criminal Code violations  [100] 13,..,"1,101.17","1,401.76","1,148.58","1,207.35"
,Total property crime violations  [200],..,"2,454.78","2,886.78","2,604.70","2,726.71"
,Total other Criminal Code violations  [300],..,"1,230.37","1,290.09","1,249.00","1,374.40"
,Total impaired driving  [910] 14 15,..,110.32,103.83,139.87,153.79
,Total other Criminal Code traffic violations  [920] 15,..,54.66,42.12,52.9,70.71
,Total drug violations  [401],..,248.46,244.89,222.36,144.07
,"Possession, cannabis (pre-legalization)  [4140] 16",..,124.23,90.12,67.25,0
,"Possession, cocaine  [4120]",..,15.9,23.51,20.62,22.1
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",..,53.67,77.39,75.32,60.99
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",..,24.85,12.73,10.76,0
,"Total cocaine, trafficking, production or distribution  [430] 17",..,20.87,28.41,29.59,28.28
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",..,8.94,11.75,16.14,23.86
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",..,0,0.98,0,0
,Total Cannabis Act  [450] 16,..,..,..,2.69,8.84
,Youth Criminal Justice Act  [6450],..,12.92,16.65,1.79,2.65
,Total other Federal Statutes  [610],..,1.99,9.8,13.45,11.49
,Bankruptcy Act  [6100],..,0,0,0,0
,Income Tax Act  [6150],..,0,0,0,0
,Canada Shipping Act  [6200],..,0,0.98,8.97,3.54
,Canada Health Act  [6250],..,0,0,0,0
,Customs Act  [6300],..,0,0,0,0
,Competition Act  [6350],..,0,0,0,0
,Excise Act  [6400],..,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,..,0,3.92,1.79,0.88
,Firearms Act  [6550],..,0,0.98,0.9,0.88
,National Defence Act  [6560],..,0,0,0,0
,Other federal statutes  [6900],..,1.99,3.92,1.79,6.19
"Peterborough, Ontario [35529] 21 (map)",Total violent Criminal Code violations  [100] 13,758.84,826.45,854.98,856.66,890.88
,Total property crime violations  [200],"2,733.62","2,394.51","2,312.35","2,222.47","2,221.00"
,Total other Criminal Code violations  [300],799.73,"1,056.69","1,007.97","1,237.74","1,185.77"
,Total impaired driving  [910] 14 15,159.45,160.77,138.65,156.18,138.13
,Total other Criminal Code traffic violations  [920] 15,45.79,52.51,51.79,60.91,48.11
,Total drug violations  [401],157,170.46,138.65,109.33,90.02
,"Possession, cannabis (pre-legalization)  [4140] 16",79.32,87.25,68.53,29.67,0
,"Possession, cocaine  [4120]",11.45,20.2,12.75,18.74,24.83
,"Total, possession, other Controlled Drugs and Substances Act drugs  [410]",22.08,17.77,21.51,22.65,24.83
,"Total cannabis, trafficking, production or distribution (pre-legalization)  [420] 16 17 18",14.72,12.93,6.37,3.9,0
,"Total cocaine, trafficking, production or distribution  [430] 17",22.08,23.43,18.33,17.96,24.83
,"Total other Controlled Drugs and Substances Act drugs, trafficking, production or distribution  [440] 17",7.36,8.89,11.16,15.62,11.64
,"Possession, sale, etc., for use in production of or trafficking in substance  [4590] 18 19",0,0,0,0,0
,Total Cannabis Act  [450] 16,..,..,..,0.78,3.88
,Youth Criminal Justice Act  [6450],22.08,10.5,11.16,6.25,9.31
,Total other Federal Statutes  [610],13.9,22.62,31.87,16.4,9.31
,Bankruptcy Act  [6100],0,0,0,0,0
,Income Tax Act  [6150],0,0,0,0,0
,Canada Shipping Act  [6200],8.18,21.81,31.87,14.06,5.43
,Canada Health Act  [6250],0,0,0,0,0
,Customs Act  [6300],0,0,0,0,0
,Competition Act  [6350],0,0,0,0,0
,Excise Act  [6400],0,0,0,0,0
,Total Immigration and Refugee Protection Act  [620] 20,0,0,0,1.56,1.55
,Firearms Act  [6550],0,0,0,0,0
