id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,amenities,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,last_review,review_scores_rating,cancellation_policy
12147973,https://www.airbnb.com/rooms/12147973,N/A,N/A,https://a2.muscache.com/im/pictures/5936fef0-ba16-45bd-ac33-9226137d0763.jpg?aki_policy=profile_x_medium,"Birch Street, Boston, MA 02131, United States",Roslindale,42.2826188,-71.13306793,House,Entire home/apt,4,1.5,2,3,Real Bed,"{TV,""Wireless Internet"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Laptop Friendly Workspace""}",$250.00,,$35.00,$0.00,0,,,moderate
3075044,https://www.airbnb.com/rooms/3075044,100%,100%,https://a2.muscache.com/im/users/2572247/profile_pic/1442235897/original.jpg?aki_policy=profile_x_medium,"Pinehurst Street, Boston, MA 02131, United States",Roslindale,42.28624082,-71.13437396,Apartment,Private room,2,1,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Pets Allowed"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Fire Extinguisher"",Essentials,Shampoo,""Lock on Bedroom Door"",Hangers,""Hair Dryer"",Iron}",$65.00,$95.00,$10.00,$0.00,36,2016-08-13,94,moderate
6976,https://www.airbnb.com/rooms/6976,100%,88%,https://a2.muscache.com/im/users/16701/profile_pic/1393434148/original.jpg?aki_policy=profile_x_medium,"Ardale St., Boston, MA 02131, United States",Roslindale,42.29243789,-71.13576525,Apartment,Private room,2,1,1,1,Real Bed,"{TV,""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",Essentials,Shampoo,""Lock on Bedroom Door"",""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$65.00,,,$20.00,41,2016-08-05,98,moderate
1436513,https://www.airbnb.com/rooms/1436513,100%,50%,https://a2.muscache.com/im/pictures/5d430cde-7eb2-4ab7-980a-ef07781cd38c.jpg?aki_policy=profile_x_medium,"Boston, MA, United States",Roslindale,42.28110619,-71.12102117,House,Private room,4,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Gym,Breakfast,""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00,$100.00,$50.00,$25.00,1,2016-08-28,100,moderate
7651065,https://www.airbnb.com/rooms/7651065,100%,100%,https://a0.muscache.com/im/users/15396970/profile_pic/1399856223/original.jpg?aki_policy=profile_x_medium,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,42.28451221,-71.13625805,House,Private room,2,1.5,1,2,Real Bed,"{Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,Breakfast,Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron}",$79.00,,$15.00,$0.00,29,2016-09-01,99,flexible
12386020,https://www.airbnb.com/rooms/12386020,100%,95%,https://a2.muscache.com/im/pictures/ab20c2a0-8e32-441a-9c04-b60d618a42c2.jpg?aki_policy=profile_x_medium,"Walter Street, Boston, MA 02131, United States",Roslindale,42.2916898,-71.13189277,Condominium,Private room,2,1,1,1,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Hangers,Iron}",$75.00,,$30.00,$0.00,8,2016-08-28,100,flexible
5706985,https://www.airbnb.com/rooms/5706985,98%,96%,https://a2.muscache.com/im/users/6570877/profile_pic/1405383234/original.jpg?aki_policy=profile_x_medium,"Kittredge Street, Boston, MA 02131, United States",Roslindale,42.28138963,-71.13119042,Apartment,Entire home/apt,3,1,1,2,Real Bed,"{TV,Internet,""Wireless Internet"",Kitchen,""Free Parking on Premises"",Heating,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in""}",$100.00,,,$25.00,57,2016-09-01,90,strict
2843445,https://www.airbnb.com/rooms/2843445,100%,100%,https://a2.muscache.com/im/users/3164508/profile_pic/1344187296/original.jpg?aki_policy=profile_x_medium,"Cornell Street, Boston, MA 02131, United States",Roslindale,42.2819461,-71.14102161,House,Private room,2,2,1,1,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",Breakfast,""Pets live on this property"",Dog(s),""Indoor Fireplace"",Heating,Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$75.00,,$10.00,$15.00,67,2016-09-04,96,moderate
753446,https://www.airbnb.com/rooms/753446,100%,100%,https://a2.muscache.com/im/pictures/28ded429-6cd7-4fd9-b1dc-78f13f2cfd2a.jpg?aki_policy=profile_x_medium,"Sycamore St, Roslindale, MA 02131, United States",Roslindale,42.28587764,-71.12490956,Condominium,Private room,2,1,1,2,Real Bed,"{""Wireless Internet"",""Pets live on this property"",Cat(s),Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",Shampoo,Hangers,""Hair Dryer""}",$58.00,,,$0.00,65,2016-08-30,96,moderate
849408,https://www.airbnb.com/rooms/849408,100%,100%,https://a2.muscache.com/im/users/4434391/profile_pic/1361980516/original.jpg?aki_policy=profile_x_medium,"Centre Street, Boston, MA 02131, United States",Roslindale,42.28882028,-71.1395101,Apartment,Entire home/apt,5,1,2,2,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$229.00,$200.00,$50.00,$25.00,33,2016-05-27,94,strict
12023024,https://www.airbnb.com/rooms/12023024,83%,100%,https://a2.muscache.com/im/pictures/00a17c83-1e9b-4261-ae3a-fd3a1b17e2e4.jpg?aki_policy=profile_x_medium,"Newburg Street, Boston, MA 02131, United States",Roslindale,42.2864482,-71.13932539,House,Private room,2,1,1,1,Real Bed,"{TV,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Carbon Monoxide Detector"",""Safety Card"",Essentials,""Lock on Bedroom Door"",""Hair Dryer"",""translation missing: en.hosting_amenity_50""}",$60.00,,$30.00,$10.00,1,2016-06-17,80,flexible
1668313,https://www.airbnb.com/rooms/1668313,100%,89%,https://a2.muscache.com/im/users/8834105/profile_pic/1379189277/original.jpg?aki_policy=profile_x_medium,"Durnell Avenue, Boston, MA 02131, United States",Roslindale,42.28194183,-71.1333719,House,Private room,1,1,1,1,Real Bed,"{TV,""Cable TV"",Internet,""Wireless Internet"",""Air Conditioning"",""Free Parking on Premises"",""Pets Allowed"",""Pets live on this property"",Cat(s),Heating,Washer,Dryer,""translation missing: en.hosting_amenity_49"",""translation missing: en.hosting_amenity_50""}",$57.00,,$40.00,$0.00,17,2016-08-18,94,flexible
2684840,https://www.airbnb.com/rooms/2684840,100%,100%,https://a2.muscache.com/im/pictures/30071847-b247-486c-923c-7c7251d55c50.jpg?aki_policy=profile_x_medium,"Primrose Street, Boston, MA 02131, United States",Roslindale,42.29172341,-71.13155602,Condominium,Entire home/apt,4,1,2,2,Real Bed,"{""Cable TV"",""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",""Pets live on this property"",Dog(s),Heating,""Family/Kid Friendly"",Washer,Dryer,""Smoke Detector"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$93.00,,$40.00,$0.00,1,2016-07-23,100,flexible
13547301,https://www.airbnb.com/rooms/13547301,100%,97%,https://a2.muscache.com/im/pictures/dad297dc-5673-4201-9703-5e8f291eea43.jpg?aki_policy=profile_x_medium,"Fairview Street, Boston, MA 02131, United States",Roslindale,42.28764103,-71.12988287,Apartment,Entire home/apt,5,1,2,3,Real Bed,"{TV,Internet,""Wireless Internet"",""Air Conditioning"",Kitchen,""Free Parking on Premises"",Heating,""Family/Kid Friendly"",""Smoke Detector"",""Carbon Monoxide Detector"",""First Aid Kit"",""Safety Card"",""Fire Extinguisher"",Essentials,Shampoo,""24-Hour Check-in"",Hangers,""Hair Dryer"",Iron,""Laptop Friendly Workspace""}",$150.00,,$50.00,$30.00,12,2016-09-03,97,moderate
