id,listing_url,host_response_rate,host_acceptance_rate,host_picture_url,street,neighbourhood_cleansed,latitude,longtitude,property_type,room_type,accomodates,bathrooms,bedrooms,beds,bed_type,price,security_deposit,cleaning_fee,extra_people,number_of_reviews,review_scores_rating,cancellation_policy,wireless_internet,smoke_detector,air_conditioning,heating,cable_tv,washer,dryer,family_kid_friendly,kitchen,free_parking,carbon_monoxide,pets_allowed,essentials,checkin_24hr,lock_on_bedroom_door,pool,hair_dryer,gym,wheelchair_accessible,iron,shampoo,hangers,first_aid_kit,elevator,comments
14236787,https://www.airbnb.com/rooms/14236787,0,0,https://a2.muscache.com/im/pictures/91120e33-3c6c-43f2-ae2f-972db79e2f3f.jpg?aki_policy=profile_x_medium,"McKinley Square, Boston, MA 02109, United States",Downtown,42.35949188,-71.05250994,Apartment,Private room,2,1,1,1,Real Bed,295,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
824244,https://www.airbnb.com/rooms/824244,100,100,https://a1.muscache.com/im/users/4335656/profile_pic/1354759797/original.jpg?aki_policy=profile_x_medium,"Chandler St, Boston, MA 02116, United States",South End,42.34675815,-71.07416682,Apartment,Private room,4,1,1,1,Real Bed,95,0,0,0,0,0,flexible,1,1,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
1692573,https://www.airbnb.com/rooms/1692573,100,100,https://a2.muscache.com/im/users/8814724/profile_pic/1379624673/original.jpg?aki_policy=profile_x_medium,"Greenough Avenue, Boston, MA 02130, United States",Jamaica Plain,42.31337883,-71.11718909,House,Entire home/apt,4,1,2,3,Real Bed,135,0,50,25,92,96,moderate,1,0,1,1,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,"My sister and I ( 30) stayed with our elderly parents for 6 nights here (aged 70 & 69). The suburb was quiet and there was a pond close-by. The train station is not too far but the train takes about 30 minutes to down town. We were located on the third floor of the family home and shared their entrance.  If you want your own space i''d suggest renting an apt in the area which we found out later cost the same. If you are working then this area is probably fine but for tourists would suggest some where more central like Back Bay or downtown. Kelly was pleasant and allowed us to make a local call which we appreciated. Unfortunately one incident at the end impacted our experience. We made a mistake with the check out time and thought it was 3pm. We were finalizing our packing when the cleaners came into the house. The host (Phil) came back shortly after and I was disappointed the way he spoke to my elderly parents in a very inappropriate and disrespectful manner. My dad was upset after the encounter . It was a genuine misunderstanding. We hadn''t discussed check out times with them (they were away the day before we were due to leave) and were unaware cleaners were due to arrive. At no time was this clarified by the hosts and as soon as we realised, we got out of their way and brought our luggage to the front door immediately. I privately emailed Phil on 27-9-2014 to convey my disappointment at his behaviour to try to resolve this in a cordial manner but never received a reply. (excerpt from email: I do want to express my disappointment at the way the matter was handled. My parents had not booked the bnb and were relying on us for all information. My father was upset after his exchange with Phil on Friday evening, which was rude and unwarranted against my elderly father who was taking all direction from us on the holiday.)The following day I received notification that he had left a review on this site. An apology would have sufficed. "
9969226,https://www.airbnb.com/rooms/9969226,0,0,https://a2.muscache.com/im/users/274767/profile_pic/1315253884/original.jpg?aki_policy=profile_x_medium,"Commonwealth Avenue, Boston, MA 02134, United States",Allston,42.34909987,-71.13098673,Apartment,Entire home/apt,4,1,1,1,Real Bed,79,0,40,0,0,0,moderate,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,
13926201,https://www.airbnb.com/rooms/13926201,100,100,https://a2.muscache.com/im/pictures/3068501d-bab1-49a3-b8b1-30012f20d454.jpg?aki_policy=profile_x_medium,"Boston, MA, United States",Downtown,42.36042354,-71.06149584,Apartment,Private room,2,1,1,1,Real Bed,10,0,0,0,0,0,flexible,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7125052,https://www.airbnb.com/rooms/7125052,0,0,https://a2.muscache.com/im/users/37320933/profile_pic/1435849984/original.jpg?aki_policy=profile_x_medium,"Exeter Street, Boston, MA 02116, United States",Back Bay,42.35292394,-71.08080355,Apartment,Private room,2,1.5,1,1,Real Bed,275,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
1077105,https://www.airbnb.com/rooms/1077105,100,100,https://a0.muscache.com/im/users/5927277/profile_pic/1365991520/original.jpg?aki_policy=profile_x_medium,"Tremont Street, Boston, MA 02118, United States",South End,42.34021512,-71.07499794,Apartment,Entire home/apt,2,1,0,1,Real Bed,176,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
7245413,https://www.airbnb.com/rooms/7245413,0,0,https://a0.muscache.com/im/users/37881504/profile_pic/1436401837/original.jpg?aki_policy=profile_x_medium,"Chester Street, Boston, MA 02134, United States",Allston,42.35293529,-71.12771394,Apartment,Shared room,2,1,1,1,Real Bed,50,0,0,0,1,20,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Air condition and wifi were terrible also home was so dirty
9796309,https://www.airbnb.com/rooms/9796309,0,0,https://a2.muscache.com/im/users/9671845/profile_pic/1382936860/original.jpg?aki_policy=profile_x_medium,"McKinley Square, Boston, MA 02109, United States",Downtown,42.35858382,-71.0526974,Villa,Private room,4,1,1,1,Real Bed,100,0,0,0,0,0,flexible,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,
5775139,https://www.airbnb.com/rooms/5775139,0,0,https://a0.muscache.com/im/users/29963974/profile_pic/1427258054/original.jpg?aki_policy=profile_x_medium,"Linden Street, Boston, MA 02134, United States",Allston,42.35156937,-71.13164992,Villa,Private room,2,1,1,1,Real Bed,70,0,0,0,0,0,flexible,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
