REF_DATE,GEO,DGUID,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2015,Census metropolitan areas,,Rate,257,units,0,v733334,1,3.3,,,,1
2016,Census metropolitan areas,,Rate,257,units,0,v733334,1,3.4,,,,1
2017,Census metropolitan areas,,Rate,257,units,0,v733334,1,2.7,,,,1
2018,Census metropolitan areas,,Rate,257,units,0,v733334,1,2.2,,,,1
2019,Census metropolitan areas,,Rate,257,units,0,v733334,1,2.1,,,,1
2020,Census metropolitan areas,,Rate,257,units,0,v733334,1,3.4,,,,1
2015,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,1.3,,,,1
2016,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,2,,,,1
2017,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,2.8,,,,1
2018,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,2.8,,,,1
2019,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,3.3,,,,1
2020,"Barrie, Ontario",2011S0503568,Rate,257,units,0,v42135248,32,1.9,,,,1
2015,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,2.4,,,,1
2016,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,2,,,,1
2017,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,1.3,,,,1
2018,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,1.2,,,,1
2019,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,2.1,,,,1
2020,"Brantford, Ontario",2011S0503543,Rate,257,units,0,v42135249,33,2.2,,,,1
2015,"Greater Sudbury, Ontario",2011S0503580,Rate,257,units,0,v733346,21,3.2,,,,1
2016,"Greater Sudbury, Ontario",2011S0503580,Rate,257,units,0,v733346,21,4.7,,,,1
2017,"Greater Sudbury, Ontario",2011S0503580,Rate,257,units,0,v733346,21,4.2,,,,1
